"date","ndvi"
1981.5,6340
1981.54166666667,6120
1981.58333333333,6250
1981.625,5640
1981.66666666667,5290
1981.70833333333,5260
1981.75,4270
1981.79166666667,4050
1981.83333333333,4190
1981.875,2000
1981.91666666667,1510
1981.95833333333,760
1982,1600
1982.04166666667,1210
1982.08333333333,1920
1982.125,1360
1982.16666666667,640
1982.20833333333,420
1982.25,1220
1982.29166666667,1560
1982.33333333333,1700
1982.375,3750
1982.41666666667,4060
1982.45833333333,4910
1982.5,5120
1982.54166666667,6260
1982.58333333333,6220
1982.625,5710
1982.66666666667,5720
1982.70833333333,5200
1982.75,4040
1982.79166666667,3210
1982.83333333333,2380
1982.875,1360
1982.91666666667,1590
1982.95833333333,1650
1983,1910
1983.04166666667,1330
1983.08333333333,1770
1983.125,1490
1983.16666666667,1150
1983.20833333333,1560
1983.25,1510
1983.29166666667,1990
1983.33333333333,2330
1983.375,3620
1983.41666666667,3360
1983.45833333333,5180
1983.5,6220
1983.54166666667,6270
1983.58333333333,5830
1983.625,4620
1983.66666666667,5430
1983.70833333333,5230
1983.75,4230
1983.79166666667,3610
1983.83333333333,2280
1983.875,1380
1983.91666666667,1090
1983.95833333333,1430
1984,1640
1984.04166666667,1870
1984.08333333333,1650
1984.125,1230
1984.16666666667,750
1984.20833333333,820
1984.25,1360
1984.29166666667,1770
1984.33333333333,2410
1984.375,4690
1984.41666666667,4570
1984.45833333333,5560
1984.5,6330
1984.54166666667,5000
1984.58333333333,6590
1984.625,5980
1984.66666666667,5430
1984.70833333333,5450
1984.75,3670
1984.79166666667,1850
1984.83333333333,1110
1984.875,2050
1984.91666666667,1750
1984.95833333333,1650
1985,2020
1985.04166666667,2240
1985.08333333333,2320
1985.125,2450
1985.16666666667,1990
1985.20833333333,1830
1985.25,1430
1985.29166666667,1570
1985.33333333333,3660
1985.375,4460
1985.41666666667,4640
1985.45833333333,5880
1985.5,5150
1985.54166666667,5980
1985.58333333333,5330
1985.625,5710
1985.66666666667,4850
1985.70833333333,5320
1985.75,4200
1985.79166666667,3500
1985.83333333333,2900
1985.875,2000
1985.91666666667,1940
1985.95833333333,2090
1986,2240
1986.04166666667,1870
1986.08333333333,1780
1986.125,2320
1986.16666666667,2130
1986.20833333333,1920
1986.25,1770
1986.29166666667,1480
1986.33333333333,3030
1986.375,4600
1986.41666666667,5000
1986.45833333333,5430
1986.5,6710
1986.54166666667,6160
1986.58333333333,5910
1986.625,5670
1986.66666666667,5320
1986.70833333333,4680
1986.75,4230
1986.79166666667,3940
1986.83333333333,2430
1986.875,2480
1986.91666666667,2700
1986.95833333333,2590
1987,2110
1987.04166666667,2070
1987.08333333333,1860
1987.125,1750
1987.16666666667,1930
1987.20833333333,2150
1987.25,1970
1987.29166666667,2700
1987.33333333333,4460
1987.375,4570
1987.41666666667,5440
1987.45833333333,5530
1987.5,6230
1987.54166666667,6010
1987.58333333333,6290
1987.625,5710
1987.66666666667,4900
1987.70833333333,4760
1987.75,4340
1987.79166666667,3720
1987.83333333333,4000
1987.875,2300
1987.91666666667,2350
1987.95833333333,2730
1988,2070
1988.04166666667,2020
1988.08333333333,2150
1988.125,2510
1988.16666666667,2260
1988.20833333333,1310
1988.25,2550
1988.29166666667,2190
1988.33333333333,4220
1988.375,4940
1988.41666666667,5090
1988.45833333333,5390
1988.5,6250
1988.54166666667,5810
1988.58333333333,5260
1988.625,3330
1988.66666666667,3120
1988.70833333333,3870
1988.75,2670
1988.79166666667,1740
1988.83333333333,980
1988.875,1050
1988.91666666667,1020
1988.95833333333,1070
1989,1070
1989.04166666667,1080
1989.08333333333,1030
1989.125,1230
1989.16666666667,1000
1989.20833333333,820
1989.25,830
1989.29166666667,990
1989.33333333333,2090
1989.375,2810
1989.41666666667,3550
1989.45833333333,4890
1989.5,5190
1989.54166666667,4630
1989.58333333333,5420
1989.625,5300
1989.66666666667,5370
1989.70833333333,5060
1989.75,3380
1989.79166666667,2390
1989.83333333333,1030
1989.875,980
1989.91666666667,770
1989.95833333333,1200
1990,960
1990.04166666667,950
1990.08333333333,840
1990.125,1280
1990.16666666667,660
1990.20833333333,730
1990.25,660
1990.29166666667,1560
1990.33333333333,1780
1990.375,2700
1990.41666666667,2860
1990.45833333333,5530
1990.5,5440
1990.54166666667,6160
1990.58333333333,5830
1990.625,5140
1990.66666666667,4610
1990.70833333333,4650
1990.75,2560
1990.79166666667,1570
